carat,cut,color,clarity,depth,table,price,x,y,z,price_per_carat,high_price,price_per_carat_with taxes
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,1728.12,0,2246.556
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,1783.87,0,2319.031
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,1783.87,0,2319.031
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,2304.17,0,2995.4210000000003
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,2304.17,0,2995.4210000000003
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,1846.67,0,2400.6710000000003
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,1846.67,0,2400.6710000000003
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,1846.67,0,2400.6710000000003
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,1846.67,0,2400.6710000000003
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,2130.77,0,2770.001
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,2130.77,0,2770.001
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,2130.77,0,2770.001
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,2130.77,0,2770.001
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,2130.77,0,2770.001
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,2130.77,0,2770.001
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,2130.77,0,2770.001
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,2130.77,0,2770.001
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,1457.89,0,1895.2570000000003
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,2130.77,0,2770.001
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,2308.33,0,3000.829
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,2308.33,0,3000.829
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,2308.33,0,3000.829
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,2308.33,0,3000.829
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,1731.25,0,2250.625
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,3938.57,1,5120.1410000000005
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,3205.81,0,4167.553
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,3938.57,1,5120.1410000000005
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,3885.92,1,5051.696
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,3537.18,1,4598.334
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,3941.43,1,5123.859
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,3941.43,1,5123.859
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,2873.96,0,3736.148
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,3780.82,1,4915.066000000001
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,3450.0,0,4485.0
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,3680.0,1,4784.0
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,3680.0,1,4784.0
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,3729.73,1,4848.649
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,3680.0,1,4784.0
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,3450.0,0,4485.0
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,3680.0,1,4784.0
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,3450.0,0,4485.0
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,3731.08,1,4850.404
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,3408.64,0,4431.232
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,4679.66,1,6083.558
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,3451.25,0,4486.625
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,3731.08,1,4850.404
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,3067.78,0,3988.1140000000005
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,3732.43,1,4852.159
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,3783.56,1,4918.628
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,3783.56,1,4918.628
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,3452.5,0,4488.25
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,3890.14,1,5057.182
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,3945.71,1,5129.423
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,3452.5,0,4488.25
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,3890.14,1,5057.182
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,3732.43,1,4852.159
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,3945.71,1,5129.423
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,3945.71,1,5129.423
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,3945.71,1,5129.423
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,3945.71,1,5129.423
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,3036.26,0,3947.1380000000004
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,4529.51,1,5888.363
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,3036.26,0,3947.1380000000004
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,3036.26,0,3947.1380000000004
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,3588.31,1,4664.803
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,3892.96,1,5060.848
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,3892.96,1,5060.848
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,3950.0,1,5135.0
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,3590.91,1,4668.183
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,4388.89,1,5705.557000000001
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,3894.37,1,5062.681
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,3894.37,1,5062.681
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,3638.16,1,4729.608
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,4321.88,1,5618.444
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,3895.77,1,5064.501
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,3895.77,1,5064.501
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,3952.86,1,5138.718000000001
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,3952.86,1,5138.718000000001
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,3897.18,1,5066.334
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,3952.86,1,5138.718000000001
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,3898.59,1,5068.167
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,3791.78,1,4929.314
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,3954.29,1,5140.577
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,3954.29,1,5140.577
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,3898.59,1,5068.167
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,3741.89,1,4864.457
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,3901.41,1,5071.833
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,3794.52,1,4932.876
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,3644.74,1,4738.162
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,3644.74,1,4738.162
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,3901.41,1,5071.833
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,3794.52,1,4932.876
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,3794.52,1,4932.876
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,3794.52,1,4932.876
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,3794.52,1,4932.876
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,3848.61,1,5003.193
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,3795.89,1,4934.657
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,3902.82,1,5073.666
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,3507.59,1,4559.867
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,3797.26,1,4936.438
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,3465.0,0,4504.5
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,4779.31,1,6213.103000000001
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,4779.31,1,6213.103000000001
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,3904.23,1,5075.499
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,3697.33,1,4806.529
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,3961.43,1,5149.859
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,2370.94,0,3082.222
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,4623.33,1,6010.329
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,3962.86,1,5151.718000000001
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,3342.17,0,4344.821
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,3750.0,1,4875.0
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,3855.56,1,5012.228
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,3909.86,1,5082.818
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,3909.86,1,5082.818
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,5140.74,1,6682.9619999999995
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,5140.74,1,6682.9619999999995
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,3855.56,1,5012.228
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,3855.56,1,5012.228
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,3855.56,1,5012.228
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,3909.86,1,5082.818
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,3967.14,1,5157.282
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,3911.27,1,5084.651
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,3911.27,1,5084.651
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,3911.27,1,5084.651
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,3911.27,1,5084.651
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,3967.14,1,5157.282
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,3967.14,1,5157.282
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,3967.14,1,5157.282
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,3967.14,1,5157.282
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,3967.14,1,5157.282
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,3967.14,1,5157.282
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,3967.14,1,5157.282
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,3967.14,1,5157.282
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,3856.94,1,5014.022
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,3967.14,1,5157.282
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,3967.14,1,5157.282
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,3967.14,1,5157.282
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,3967.14,1,5157.282
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,2833.67,0,3683.771
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,3560.26,1,4628.338000000001
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,3967.14,1,5157.282
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,5342.31,1,6945.003000000001
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,3806.85,1,4948.905
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,3755.41,1,4882.033
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,3971.43,1,5162.859
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,3610.39,1,4693.507
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,3915.49,1,5090.137
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,3756.76,1,4883.7880000000005
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,3971.43,1,5162.859
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,2753.47,0,3579.511
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,3611.69,1,4695.197
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,3565.38,1,4634.994000000001
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,3863.89,1,5023.057
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,5249.06,1,6823.778000000001
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,3660.53,1,4758.689
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,3974.29,1,5166.577
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,3974.29,1,5166.577
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,3709.33,1,4822.129
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,3863.89,1,5023.057
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,3863.89,1,5023.057
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,3974.29,1,5166.577
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,3311.9,0,4305.47
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,3709.33,1,4822.129
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,5351.92,1,6957.496
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,3866.67,1,5026.671
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,3524.05,1,4581.265
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,3870.83,1,5032.079
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,5464.71,1,7104.1230000000005
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,4354.69,1,5661.097
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,3982.86,1,5177.718000000001
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,3359.04,0,4366.752
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,3668.42,1,4768.946
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,3926.76,1,5104.7880000000005
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,3620.78,1,4707.014
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,3926.76,1,5104.7880000000005
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,2760.4,0,3588.5200000000004
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,2760.4,0,3588.5200000000004
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,3622.08,1,4708.704
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,3669.74,1,4770.662
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,3669.74,1,4770.662
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,3669.74,1,4770.662
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,2656.19,0,3453.047
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,3443.21,0,4476.173
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,3984.29,1,5179.577
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,5070.91,1,6592.183
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,3443.21,0,4476.173
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,4426.98,1,5755.074
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,4426.98,1,5755.074
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,3622.08,1,4708.704
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,2656.19,0,3453.047
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,4359.38,1,5667.194
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,3671.05,1,4772.365000000001
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,3361.45,0,4369.885
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,3929.58,1,5108.454
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,3929.58,1,5108.454
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,3208.05,0,4170.465
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,3823.29,1,4970.277
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,3932.39,1,5112.107
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,3932.39,1,5112.107
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,3932.39,1,5112.107
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,3988.57,1,5185.1410000000005
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,3988.57,1,5185.1410000000005
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,3673.68,1,4775.784
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,3988.57,1,5185.1410000000005
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,3535.44,1,4596.072
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,3990.0,1,5187.0
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,3990.0,1,5187.0
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,3675.0,1,4777.5
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,3826.03,1,4973.839000000001
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,3536.71,1,4597.723
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,3936.62,1,5117.606
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,3450.62,0,4485.806
